   Point	                                    	nearest_coord	                            new_distance	    new_point	                                timestamp	    uncertainty
245	POINT (14.6085908322872 59.12388880343857)	9.0	POINT (14.6085908322872 59.12388880343857)	3.1269626693514514	POINT (59.12391687380919 14.6085908322872)	1610725030.0	3.1269626693514514
246	POINT (14.6085572780476 59.12386995101352)	9.0	POINT (14.6085572780476 59.12386995101352)	2.1859144650366846	POINT (59.12388957370683 14.6085572780476)	1610725031.0	2.1859144650366846
435	POINT (14.60854714900073 59.12387864848415)	9.0	POINT (14.60854714900073 59.12387864848415)	3.5085098209256573	POINT (59.12391014395804 14.60854714900073)	1610726211.0	3.5085098209256573
438	POINT (14.60856360448679 59.12387452846088)	9.0	POINT (14.60856360448679 59.12387452846088)	2.9961722790601617	POINT (59.12390142474183 14.60856360448679)	1610726213.0	2.9961722790601617
442	POINT (14.60856360448701 59.12387452846078)	9.0	POINT (14.60856360448701 59.12387452846078)	2.9961722790601617	POINT (59.12390142474175 14.60856360448701)	1610726214.0	2.9961722790601617
445	POINT (14.60854714908247 59.12389095007989)	9.0	POINT (14.60854714908247 59.12389095007989)	2.483834737194666	POINT (59.12391324716783 14.60854714908247)	1610726216.0	2.483834737194666
446	POINT (14.60854714908189 59.1238909500812)	9.0	POINT (14.60854714908189 59.1238909500812)	2.483834737194666	POINT (59.12391324716915 14.60854714908189)	1610726217.0	2.483834737194666
451	POINT (14.60854714908148 59.12389095008236)	9.0	POINT (14.60854714908148 59.12389095008236)	2.483834737194666	POINT (59.12391324717031 14.60854714908148)	1610726219.0	2.483834737194666
452	POINT (14.60854714908201 59.12389095008104)	9.0	POINT (14.60854714908201 59.12389095008104)	2.483834737194666	POINT (59.12391324716899 14.60854714908201)	1610726220.0	2.483834737194666
455	POINT (14.6085471490822 59.12389095008088)	9.0	POINT (14.6085471490822 59.12389095008088)	2.483834737194666	POINT (59.12391324716883 14.6085471490822)	1610726222.0	2.483834737194666
458	POINT (14.60854907177587 59.12388799632578)	9.0	POINT (14.60854907177587 59.12388799632578)	2.483834737194666	POINT (59.12391029341374 14.60854907177587)	1610726239.0	2.483834737194666
460	POINT (14.60857053610039 59.12387649456787)	9.0	POINT (14.60857053610039 59.12387649456787)	2.7079008165752736	POINT (59.12390080307031 14.60857053610039)	1610726240.0	2.7079008165752736
461	POINT (14.60855990465321 59.12389114298954)	9.0	POINT (14.60855990465321 59.12389114298954)	2.0	POINT (59.12390909675081 14.60855990465321)	1610726241.0	2.0
462	POINT (14.60855929417686 59.12389100587686)	9.0	POINT (14.60855929417686 59.12389100587686)	2.0	POINT (59.12390895963812 14.60855929417686)	1610726242.0	2.0
465	POINT (14.60855929417754 59.12389100587682)	9.0	POINT (14.60855929417754 59.12389100587682)	2.0	POINT (59.12390895963809 14.60855929417754)	1610726243.0	2.0
467	POINT (14.60854714908213 59.12389095008061)	9.0	POINT (14.60854714908213 59.12389095008061)	2.483834737194666	POINT (59.12391324716855 14.60854714908213)	1610726223.0	2.483834737194666
469	POINT (14.60854759254735 59.1238850194806)	9.0	POINT (14.60854759254735 59.1238850194806)	2.7869084125686827	POINT (59.12391003722478 14.60854759254735)	1610726224.0	2.7869084125686827
472	POINT (14.60854909142813 59.12388793153035)	9.0	POINT (14.60854909142813 59.12388793153035)	2.483834737194666	POINT (59.12391022861831 14.60854909142813)	1610726233.0	2.483834737194666
473	POINT (14.60854909142864 59.12388793153042)	9.0	POINT (14.60854909142864 59.12388793153042)	2.483834737194666	POINT (59.12391022861837 14.60854909142864)	1610726234.0	2.483834737194666
478	POINT (14.60854923314812 59.1238949940024)	9.0	POINT (14.60854923314812 59.1238949940024)	2.483834737194666	POINT (59.12391729109034 14.60854923314812)	1610726255.0	2.483834737194666
483	POINT (14.60855335678841 59.12388795363184)	9.0	POINT (14.60855335678841 59.12388795363184)	2.483834737194666	POINT (59.12391025071979 14.60855335678841)	1610726250.0	2.483834737194666
484	POINT (14.60855335678854 59.12388795363196)	9.0	POINT (14.60855335678854 59.12388795363196)	2.483834737194666	POINT (59.12391025071993 14.60855335678854)	1610726251.0	2.483834737194666
485	POINT (14.60854923314807 59.12389499400253)	9.0	POINT (14.60854923314807 59.12389499400253)	2.483834737194666	POINT (59.12391729109046 14.60854923314807)	1610726252.0	2.483834737194666
486	POINT (14.60854923314809 59.12389499400243)	9.0	POINT (14.60854923314809 59.12389499400243)	2.483834737194666	POINT (59.12391729109036 14.60854923314809)	1610726254.0	2.483834737194666
490	POINT (14.60855929417686 59.12389100587686)	9.0	POINT (14.60855929417686 59.12389100587686)	2.0	POINT (59.12390895963812 14.60855929417686)	1610726245.0	2.0
491	POINT (14.60855929417757 59.1238910058767)	9.0	POINT (14.60855929417757 59.1238910058767)	2.0	POINT (59.12390895963797 14.60855929417757)	1610726246.0	2.0
492	POINT (14.60855929417754 59.12389100587682)	9.0	POINT (14.60855929417754 59.12389100587682)	2.0	POINT (59.12390895963809 14.60855929417754)	1610726248.0	2.0
493	POINT (14.60855929417754 59.12389100587682)	9.0	POINT (14.60855929417754 59.12389100587682)	2.0	POINT (59.12390895963809 14.60855929417754)	1610726249.0	2.0
494	POINT (14.60852816709897 59.12389567302633)	9.0	POINT (14.60852816709897 59.12389567302633)	2.0	POINT (59.12391362678758 14.60852816709897)	1610726230.0	2.0
495	POINT (14.60854909142813 59.12388793153035)	9.0	POINT (14.60854909142813 59.12388793153035)	2.483834737194666	POINT (59.12391022861831 14.60854909142813)	1610726232.0	2.483834737194666
